hr,holiday,workingday,humidity_percentage,windspeed,temperature_celsius,feels_like_temperature_celsius,bike_riders,date,day,month,dayofweek,datetimestamp,fall,spring,summer,winter,clear,heavy_rain_snow,light_rain_snow,mist_cloudy,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September
16,0,0,0.82,20,11.74,11.9972,93,2011-01-01 00:00:00,1,1,5,2011-01-01 16:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0,0,0.82,19,12.68,13.0004,67,2011-01-01 00:00:00,1,1,5,2011-01-01 17:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0.88,17,11.74,11.9972,35,2011-01-01 00:00:00,1,1,5,2011-01-01 18:00:00,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0,0,0.88,17,11.74,11.9972,37,2011-01-01 00:00:00,1,1,5,2011-01-01 19:00:00,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,0,0.87,17,10.8,11.0006,36,2011-01-01 00:00:00,1,1,5,2011-01-01 20:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0.87,13,10.8,11.0006,34,2011-01-01 00:00:00,1,1,5,2011-01-01 21:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,0,0,0.94,15,10.8,11.0006,28,2011-01-01 00:00:00,1,1,5,2011-01-01 22:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,0,0.88,20,13.62,13.997,39,2011-01-01 00:00:00,1,1,5,2011-01-01 23:00:00,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0.88,20,13.62,13.997,17,2011-01-02 00:00:00,2,1,6,2011-01-02 00:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0.94,17,12.68,13.0004,17,2011-01-02 00:00:00,2,1,6,2011-01-02 01:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,1.0,19,11.74,11.9972,9,2011-01-02 00:00:00,2,1,6,2011-01-02 02:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0.94,13,13.62,13.997,6,2011-01-02 00:00:00,2,1,6,2011-01-02 03:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0.94,13,13.62,13.997,3,2011-01-02 00:00:00,2,1,6,2011-01-02 04:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0.77,20,11.74,11.9972,2,2011-01-02 00:00:00,2,1,6,2011-01-02 06:00:00,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0.76,13,10.8,11.0006,1,2011-01-02 00:00:00,2,1,6,2011-01-02 07:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0.71,15,10.8,11.0006,8,2011-01-02 00:00:00,2,1,6,2011-01-02 08:00:00,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0.76,15,9.86,9.9974,20,2011-01-02 00:00:00,2,1,6,2011-01-02 09:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0.81,15,8.92,7.001,53,2011-01-02 00:00:00,2,1,6,2011-01-02 10:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,0.71,17,8.92,5.9978,70,2011-01-02 00:00:00,2,1,6,2011-01-02 11:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,0.66,20,8.92,5.9978,93,2011-01-02 00:00:00,2,1,6,2011-01-02 12:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0,0,0.66,9,8.92,7.001,75,2011-01-02 00:00:00,2,1,6,2011-01-02 13:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0.76,13,8.92,7.001,59,2011-01-02 00:00:00,2,1,6,2011-01-02 14:00:00,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0,0,0.81,11,7.98,5.9978,74,2011-01-02 00:00:00,2,1,6,2011-01-02 15:00:00,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0.71,11,7.98,5.9978,76,2011-01-02 00:00:00,2,1,6,2011-01-02 16:00:00,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0,0,0.57,13,7.98,5.9978,65,2011-01-02 00:00:00,2,1,6,2011-01-02 17:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0.46,22,8.92,5.9978,53,2011-01-02 00:00:00,2,1,6,2011-01-02 18:00:00,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0,0,0.42,30,7.04,3.0014,30,2011-01-02 00:00:00,2,1,6,2011-01-02 19:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,0,0.39,24,6.1,1.9982,22,2011-01-02 00:00:00,2,1,6,2011-01-02 20:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0.44,22,4.22,-0.9982,31,2011-01-02 00:00:00,2,1,6,2011-01-02 21:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,0,0,0.44,20,3.28,-2.0014,9,2011-01-02 00:00:00,2,1,6,2011-01-02 22:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,0,0.47,11,2.34,-0.9982,8,2011-01-02 00:00:00,2,1,6,2011-01-02 23:00:00,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0.44,24,2.34,-2.998,5,2011-01-03 00:00:00,3,1,0,2011-01-03 00:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0.44,28,1.4,-4.9978,2,2011-01-03 00:00:00,3,1,0,2011-01-03 01:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,1,0.47,26,-0.48,-6.9976,1,2011-01-03 00:00:00,3,1,0,2011-01-03 04:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,1,0.47,19,-0.48,-6.9976,3,2011-01-03 00:00:00,3,1,0,2011-01-03 05:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,1,0.5,26,-1.42,-8.9974,30,2011-01-03 00:00:00,3,1,0,2011-01-03 06:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,1,0.5,13,-1.42,-6.9976,64,2011-01-03 00:00:00,3,1,0,2011-01-03 07:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,1,0.5,19,-1.42,-8.0008,154,2011-01-03 00:00:00,3,1,0,2011-01-03 08:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,1,0.43,26,-0.48,-6.9976,88,2011-01-03 00:00:00,3,1,0,2011-01-03 09:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,1,0.43,17,0.46,-4.9978,44,2011-01-03 00:00:00,3,1,0,2011-01-03 10:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,1,0.4,22,1.4,-4.0012,51,2011-01-03 00:00:00,3,1,0,2011-01-03 11:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,1,0.35,20,2.34,-2.0014,61,2011-01-03 00:00:00,3,1,0,2011-01-03 12:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0,1,0.35,19,3.28,-2.0014,61,2011-01-03 00:00:00,3,1,0,2011-01-03 13:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,1,0.3,19,4.22,-0.0016,77,2011-01-03 00:00:00,3,1,0,2011-01-03 14:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0,1,0.3,17,4.22,-0.0016,72,2011-01-03 00:00:00,3,1,0,2011-01-03 15:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,1,0.3,17,4.22,-0.0016,76,2011-01-03 00:00:00,3,1,0,2011-01-03 16:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0,1,0.3,15,3.28,-0.9982,157,2011-01-03 00:00:00,3,1,0,2011-01-03 17:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,1,0.32,7,3.28,1.0016,157,2011-01-03 00:00:00,3,1,0,2011-01-03 18:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0,1,0.47,0,1.4,1.0016,110,2011-01-03 00:00:00,3,1,0,2011-01-03 19:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,1,0.47,7,1.4,-0.9982,52,2011-01-03 00:00:00,3,1,0,2011-01-03 20:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,1,0.64,9,0.46,-2.998,52,2011-01-03 00:00:00,3,1,0,2011-01-03 21:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,0,1,0.69,9,-1.42,-6.001,20,2011-01-03 00:00:00,3,1,0,2011-01-03 22:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,1,0.55,7,0.46,-2.0014,12,2011-01-03 00:00:00,3,1,0,2011-01-03 23:00:00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0.55,7,-0.48,-4.0012,5,2011-01-04 00:00:00,4,1,1,2011-01-04 00:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0.59,7,-0.48,-4.0012,2,2011-01-04 00:00:00,4,1,1,2011-01-04 01:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,1,0.63,9,-1.42,-6.001,1,2011-01-04 00:00:00,4,1,1,2011-01-04 02:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,1,0.63,6,-1.42,-4.0012,2,2011-01-04 00:00:00,4,1,1,2011-01-04 04:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,1,0.68,7,-2.36,-6.001,4,2011-01-04 00:00:00,4,1,1,2011-01-04 05:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,1,0.74,7,-2.36,-6.001,36,2011-01-04 00:00:00,4,1,1,2011-01-04 06:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,1,0.74,9,-2.36,-6.001,94,2011-01-04 00:00:00,4,1,1,2011-01-04 07:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,1,0.69,11,-1.42,-6.001,179,2011-01-04 00:00:00,4,1,1,2011-01-04 08:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,1,0.64,15,-0.48,-6.001,100,2011-01-04 00:00:00,4,1,1,2011-01-04 09:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,1,0.69,22,-0.48,-6.9976,42,2011-01-04 00:00:00,4,1,1,2011-01-04 10:00:00,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,1,0.51,20,2.34,-2.0014,57,2011-01-04 00:00:00,4,1,1,2011-01-04 11:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,1,0.51,11,2.34,-0.9982,78,2011-01-04 00:00:00,4,1,1,2011-01-04 12:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0,1,0.56,13,3.28,-0.9982,97,2011-01-04 00:00:00,4,1,1,2011-01-04 13:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,1,0.52,15,4.22,1.0016,63,2011-01-04 00:00:00,4,1,1,2011-01-04 14:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0,1,0.52,17,5.16,1.9982,65,2011-01-04 00:00:00,4,1,1,2011-01-04 15:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,1,0.49,17,6.1,3.0014,83,2011-01-04 00:00:00,4,1,1,2011-01-04 16:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17,0,1,0.48,15,5.16,1.9982,212,2011-01-04 00:00:00,4,1,1,2011-01-04 17:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,1,0.48,13,4.22,1.0016,182,2011-01-04 00:00:00,4,1,1,2011-01-04 18:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
19,0,1,0.48,7,3.28,1.0016,112,2011-01-04 00:00:00,4,1,1,2011-01-04 19:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,1,0.48,7,3.28,1.0016,54,2011-01-04 00:00:00,4,1,1,2011-01-04 20:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,1,0.64,0,2.34,1.9982,48,2011-01-04 00:00:00,4,1,1,2011-01-04 21:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
22,0,1,0.64,6,2.34,1.0016,35,2011-01-04 00:00:00,4,1,1,2011-01-04 22:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,1,0.69,6,1.4,-0.9982,11,2011-01-04 00:00:00,4,1,1,2011-01-04 23:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0.64,0,1.4,1.0016,6,2011-01-05 00:00:00,5,1,2,2011-01-05 00:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0.74,6,-0.48,-2.998,6,2011-01-05 00:00:00,5,1,2,2011-01-05 01:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,0,1,0.74,6,-0.48,-2.998,2,2011-01-05 00:00:00,5,1,2,2011-01-05 02:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,0,1,0.48,15,3.28,-0.9982,2,2011-01-05 00:00:00,5,1,2,2011-01-05 04:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5,0,1,0.47,11,2.34,-0.9982,3,2011-01-05 00:00:00,5,1,2,2011-01-05 05:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,0,1,0.47,15,1.4,-2.998,33,2011-01-05 00:00:00,5,1,2,2011-01-05 06:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7,0,1,0.43,13,0.46,-4.0012,88,2011-01-05 00:00:00,5,1,2,2011-01-05 07:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
8,0,1,0.4,20,1.4,-4.0012,195,2011-01-05 00:00:00,5,1,2,2011-01-05 08:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
9,0,1,0.37,22,2.34,-2.998,115,2011-01-05 00:00:00,5,1,2,2011-01-05 09:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10,0,1,0.37,22,2.34,-2.998,57,2011-01-05 00:00:00,5,1,2,2011-01-05 10:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,0,1,0.33,22,4.22,-0.9982,46,2011-01-05 00:00:00,5,1,2,2011-01-05 11:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
12,0,1,0.33,22,4.22,-0.9982,79,2011-01-05 00:00:00,5,1,2,2011-01-05 12:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,0,1,0.3,20,5.16,1.0016,71,2011-01-05 00:00:00,5,1,2,2011-01-05 13:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
14,0,1,0.28,13,6.1,3.0014,62,2011-01-05 00:00:00,5,1,2,2011-01-05 14:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
15,0,1,0.28,13,6.1,3.0014,62,2011-01-05 00:00:00,5,1,2,2011-01-05 15:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16,0,1,0.28,6,6.1,5.0012,89,2011-01-05 00:00:00,5,1,2,2011-01-05 16:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
17,0,1,0.38,13,3.28,-0.9982,190,2011-01-05 00:00:00,5,1,2,2011-01-05 17:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18,0,1,0.38,9,3.28,-0.0016,169,2011-01-05 00:00:00,5,1,2,2011-01-05 18:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
19,0,1,0.38,7,3.28,1.0016,132,2011-01-05 00:00:00,5,1,2,2011-01-05 19:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,0,1,0.47,11,2.34,-0.9982,89,2011-01-05 00:00:00,5,1,2,2011-01-05 20:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,0,1,0.51,13,1.4,-2.998,43,2011-01-05 00:00:00,5,1,2,2011-01-05 21:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,0,1,0.55,9,0.46,-2.998,42,2011-01-05 00:00:00,5,1,2,2011-01-05 22:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,0,1,0.47,0,1.4,1.0016,19,2011-01-05 00:00:00,5,1,2,2011-01-05 23:00:00,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0.55,0,0.46,-0.0016,11,2011-01-06 00:00:00,6,1,3,2011-01-06 00:00:00,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0.64,0,-0.48,-0.9982,4,2011-01-06 00:00:00,6,1,3,2011-01-06 01:00:00,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,1,0.64,0,-0.48,-0.9982,2,2011-01-06 00:00:00,6,1,3,2011-01-06 02:00:00,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,1,0.64,6,-0.48,-2.998,1,2011-01-06 00:00:00,6,1,3,2011-01-06 04:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,1,0.69,6,-1.42,-4.0012,4,2011-01-06 00:00:00,6,1,3,2011-01-06 05:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,1,0.63,7,-1.42,-4.9978,36,2011-01-06 00:00:00,6,1,3,2011-01-06 06:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,1,0.59,0,-0.48,-0.9982,95,2011-01-06 00:00:00,6,1,3,2011-01-06 07:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,1,0.59,0,-0.48,-0.9982,219,2011-01-06 00:00:00,6,1,3,2011-01-06 08:00:00,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,1,0.51,0,0.46,-0.0016,122,2011-01-06 00:00:00,6,1,3,2011-01-06 09:00:00,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
